1,springblog,12,236163,502261,502261,502261
2,springblog,4,198363,459864,284514,385041
2,springblog,2,187213,618452,281690,444750
3,springblog,6,193296,503921,265031,359437
4,springblog,7,190974,478451,262348,388797
5,springblog,5,4883685,12373993,11516472,12202911
5,springblog,20,4591596,12325823,11194023,12325823
5,springblog,16,11619426,18978656,16361037,18693593
6,springblog,13,219838,149438090,328385,434276
6,springblog,10,213705,492245,295148,399094
6,springblog,9,172627,459521,258841,358490
6,springblog,8,197336,459478,301633,399684
6,springblog,3,41443634,228714766,42703079,228714766
6,springblog,19,220257,411338,334706,389384
6,springblog,18,56180312,278356178,59485363,61360076
6,springblog,15,208740,467643,339555,431489
6,springblog,14,206038,483602,348127,407755
7,springblog,12,231299,559941,307917,440495
8,springblog,11,253638,604983,325515,442677
9,springblog,17,281833,683714,366135,504609
10,springblog,1,18732790,28483362,22376935,23877039
